Season,MatchDate,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,TotalGoals,TotalShots,TotalShotsOnTarget,TotalFouls,TotalCorners,TotalYellowCards,TotalRedCards,GoalDifferenceAbs,DisciplineScore
2000/01,2000-10-15,Derby,Liverpool,0,4,A,0,1,A,6,16,0,11,18,13,4,3,1,1,0,0,4,22,11,31,7,2,0,4,2
2000/01,2000-10-16,Middlesbrough,Newcastle,1,3,A,0,1,A,8,15,2,8,8,13,6,6,2,1,0,0,4,23,10,21,12,3,0,2,3
2000/01,2000-10-21,Bradford,Ipswich,0,2,A,0,1,A,7,12,3,3,15,14,9,1,1,0,0,0,2,19,6,29,10,1,0,2,1
2000/01,2000-10-21,Charlton,Middlesbrough,1,0,H,0,0,D,5,8,2,6,11,19,5,6,2,2,0,0,1,13,8,30,11,4,0,1,4
2000/01,2000-10-21,Chelsea,Coventry,6,1,H,2,0,H,33,3,19,3,6,8,10,0,0,1,0,1,7,36,22,14,10,1,1,5,6
2000/01,2000-10-21,Liverpool,Leicester,1,0,H,0,0,D,24,8,11,3,8,10,10,9,1,2,0,0,1,32,14,18,19,3,0,1,3
2000/01,2000-10-21,Man United,Leeds,3,0,H,1,0,H,26,5,14,0,9,18,12,4,0,2,0,0,3,31,14,27,16,2,0,3,2
2000/01,2000-10-21,Newcastle,Everton,0,1,A,0,0,D,11,9,4,4,9,12,5,4,1,3,0,0,1,20,8,21,9,4,0,1,4
2000/01,2000-10-21,Tottenham,Derby,3,1,H,2,1,H,18,8,8,7,9,16,7,4,1,2,0,0,4,26,15,25,11,3,0,2,3
2000/01,2000-10-21,West Ham,Arsenal,1,2,A,0,2,A,11,13,3,5,15,11,5,4,1,0,0,0,3,24,8,26,9,1,0,1,1
2000/01,2000-10-22,Aston Villa,Sunderland,0,0,D,0,0,D,17,7,4,3,11,17,7,3,1,3,0,0,0,24,7,28,10,4,0,0,4
2000/01,2000-10-23,Southampton,Man City,0,2,A,0,1,A,19,11,6,4,10,15,9,3,1,2,0,0,2,30,10,25,12,3,0,2,3
2000/01,2000-10-28,Arsenal,Man City,5,0,H,1,0,H,22,6,14,2,6,13,10,4,0,3,0,1,5,28,16,19,14,3,1,5,8
2000/01,2000-10-28,Aston Villa,Charlton,2,1,H,2,0,H,12,7,7,4,13,11,9,6,3,2,0,0,3,19,11,24,15,5,0,1,5
2000/01,2000-10-28,Chelsea,Tottenham,3,0,H,2,0,H,9,6,7,3,12,14,2,3,3,3,0,0,3,15,10,26,5,6,0,3,6
2000/01,2000-10-28,Ipswich,Middlesbrough,2,1,H,2,0,H,19,7,11,3,8,17,6,1,0,2,0,0,3,26,14,25,7,2,0,1,2
2000/01,2000-10-28,Leicester,Derby,2,1,H,1,1,D,9,7,5,2,9,18,7,3,0,3,0,0,3,16,7,27,10,3,0,1,3
2000/01,2000-10-28,Man United,Southampton,5,0,H,2,0,H,16,12,8,5,5,9,7,7,0,0,0,0,5,28,13,14,14,0,0,5,0
2000/01,2000-10-28,Sunderland,Coventry,1,0,H,0,0,D,11,10,7,4,17,10,1,3,2,2,0,0,1,21,11,27,4,4,0,1,4
2000/01,2000-10-28,West Ham,Newcastle,1,0,H,0,0,D,11,12,4,5,15,10,3,8,3,2,0,0,1,23,9,25,11,5,0,1,5
2000/01,2000-10-29,Bradford,Leeds,1,1,D,1,0,H,11,12,6,9,15,15,5,9,3,4,0,0,2,23,15,30,14,7,0,0,7
2000/01,2000-10-29,Liverpool,Everton,3,1,H,1,1,D,10,9,8,7,10,10,9,6,0,1,0,1,4,19,15,20,15,1,1,2,6
2000/01,2000-11-04,Charlton,Bradford,2,0,H,2,0,H,11,12,7,8,10,20,3,6,0,1,0,1,2,23,15,30,9,1,1,2,6
2000/01,2000-11-04,Coventry,Man United,1,2,A,0,2,A,4,11,2,6,17,8,3,9,1,1,0,0,3,15,8,25,12,2,0,1,2
2000/01,2000-11-04,Leeds,Liverpool,4,3,H,1,2,A,10,14,7,8,18,18,7,7,1,4,0,0,7,24,15,36,14,5,0,1,5
2000/01,2000-11-04,Man City,Leicester,0,1,A,0,0,D,14,3,3,2,12,14,9,4,1,2,0,0,1,17,5,26,13,3,0,1,3
2000/01,2000-11-04,Middlesbrough,Arsenal,0,1,A,0,1,A,4,11,3,8,10,11,5,8,1,1,1,0,1,15,11,21,13,2,1,1,7
2000/01,2000-11-04,Newcastle,Ipswich,2,1,H,1,1,D,11,8,6,5,13,7,7,4,1,0,0,0,3,19,11,20,11,1,0,1,1
2000/01,2000-11-04,Southampton,Chelsea,3,2,H,2,0,H,10,9,4,4,16,11,7,7,4,2,0,0,5,19,8,27,14,6,0,1,6
2000/01,2000-11-04,Tottenham,Sunderland,2,1,H,1,0,H,11,12,6,3,18,9,8,7,1,0,1,0,3,23,9,27,15,1,1,1,6
2000/01,2000-11-05,Everton,Aston Villa,0,1,A,0,0,D,14,4,6,1,17,23,6,2,3,2,0,0,1,18,7,40,8,5,0,1,5
2000/01,2000-11-06,Derby,West Ham,0,0,D,0,0,D,14,6,2,6,14,18,6,1,1,1,0,0,0,20,8,32,7,2,0,0,2
2000/01,2000-11-11,Arsenal,Derby,0,0,D,0,0,D,15,9,9,2,12,13,10,0,0,2,0,0,0,24,11,25,10,2,0,0,2
2000/01,2000-11-11,Aston Villa,Tottenham,2,0,H,1,0,H,11,3,6,2,15,13,10,1,0,3,0,0,2,14,8,28,11,3,0,2,3
2000/01,2000-11-11,Bradford,Everton,0,1,A,0,0,D,11,9,6,4,8,18,3,3,1,2,0,0,1,20,10,26,6,3,0,1,3
2000/01,2000-11-11,Ipswich,Charlton,2,0,H,0,0,D,30,7,13,4,8,12,13,3,0,2,0,0,2,37,17,20,16,2,0,2,2
2000/01,2000-11-11,Leicester,Newcastle,1,1,D,0,0,D,8,7,4,1,7,8,0,3,1,1,0,0,2,15,5,15,3,2,0,0,2
2000/01,2000-11-11,Man United,Middlesbrough,2,1,H,0,1,A,18,5,11,1,5,10,10,0,0,0,0,0,3,23,12,15,10,0,0,1,0
2000/01,2000-11-11,Sunderland,Southampton,2,2,D,1,1,D,11,10,5,5,13,21,7,4,1,1,0,0,4,21,10,34,11,2,0,0,2
2000/01,2000-11-11,West Ham,Man City,4,1,H,0,1,A,22,10,11,5,7,7,7,5,1,1,0,0,5,32,16,14,12,2,0,3,2
2000/01,2000-11-12,Chelsea,Leeds,1,1,D,0,0,D,12,11,7,3,19,24,3,2,4,4,0,0,2,23,10,43,5,8,0,0,8
2000/01,2000-11-12,Liverpool,Coventry,4,1,H,1,0,H,19,10,13,5,10,12,7,1,1,0,0,0,5,29,18,22,8,1,0,3,1
2000/01,2000-11-18,Charlton,Chelsea,2,0,H,1,0,H,10,13,6,3,18,22,4,5,2,3,0,0,2,23,9,40,9,5,0,2,5
2000/01,2000-11-18,Derby,Bradford,2,0,H,0,0,D,7,7,3,4,10,18,2,4,3,1,0,0,2,14,7,28,6,4,0,2,4
2000/01,2000-11-18,Everton,Arsenal,2,0,H,0,0,D,4,4,2,2,20,12,3,5,3,1,0,0,2,8,4,32,8,4,0,2,4
2000/01,2000-11-18,Leeds,West Ham,0,1,A,0,1,A,15,4,6,3,14,19,2,2,1,1,0,0,1,19,9,33,4,2,0,1,2
2000/01,2000-11-18,Man City,Man United,0,1,A,0,1,A,10,8,4,4,13,8,10,11,3,1,0,0,1,18,8,21,21,4,0,1,4
2000/01,2000-11-18,Middlesbrough,Leicester,0,3,A,0,2,A,11,9,4,7,8,12,6,2,3,1,0,0,3,20,11,20,8,4,0,3,4
2000/01,2000-11-18,Newcastle,Sunderland,1,2,A,1,0,H,19,9,9,6,17,26,1,4,1,3,0,0,3,28,15,43,5,4,0,1,4
2000/01,2000-11-18,Southampton,Aston Villa,2,0,H,2,0,H,7,9,3,3,10,10,3,3,0,0,0,0,2,16,6,20,6,0,0,2,0
2000/01,2000-11-19,Tottenham,Liverpool,2,1,H,2,1,H,6,9,4,4,11,13,6,5,1,2,0,0,3,15,8,24,11,3,0,1,3
2000/01,2000-11-20,Coventry,Ipswich,0,1,A,0,0,D,12,10,5,4,10,12,5,5,1,1,0,0,1,22,9,22,10,2,0,1,2
2000/01,2000-11-25,Charlton,Sunderland,0,1,A,0,0,D,10,8,2,3,16,16,7,8,0,1,0,0,1,18,5,32,15,1,0,1,1
2000/01,2000-11-25,Coventry,Aston Villa,1,1,D,0,1,A,10,7,2,4,9,19,6,1,1,2,0,0,2,17,6,28,7,3,0,0,3
2000/01,2000-11-25,Derby,Man United,0,3,A,0,0,D,1,12,0,7,12,12,3,9,2,1,0,0,3,13,7,24,12,3,0,3,3
2000/01,2000-11-25,Everton,Chelsea,2,1,H,0,1,A,11,10,5,6,11,18,1,4,0,3,0,1,3,21,11,29,5,3,1,1,8
2000/01,2000-11-25,Man City,Ipswich,2,3,A,0,2,A,9,11,4,4,8,5,6,5,0,2,0,0,5,20,8,13,11,2,0,1,2
2000/01,2000-11-25,Middlesbrough,Bradford,2,2,D,0,2,A,14,9,9,5,17,18,6,4,0,2,1,0,4,23,14,35,10,2,1,0,7
2000/01,2000-11-25,Southampton,West Ham,2,3,A,1,2,A,10,14,5,8,12,10,6,10,1,2,0,0,5,24,13,22,16,3,0,1,3
2000/01,2000-11-25,Tottenham,Leicester,3,0,H,2,0,H,15,11,7,5,21,15,5,8,1,3,0,1,3,26,12,36,13,4,1,3,9
2000/01,2000-11-26,Leeds,Arsenal,1,0,H,0,0,D,12,9,6,3,19,22,8,4,1,7,0,0,1,21,9,41,12,8,0,1,8
2000/01,2000-11-26,Newcastle,Liverpool,2,1,H,1,0,H,9,13,6,9,17,15,5,11,3,2,0,0,3,22,15,32,16,5,0,1,5
2000/01,2000-12-02,Arsenal,Southampton,1,0,H,0,0,D,24,7,12,5,14,15,16,8,0,2,0,0,1,31,17,29,24,2,0,1,2
2000/01,2000-12-02,Aston Villa,Newcastle,1,1,D,1,0,H,8,9,4,5,11,12,8,2,2,1,0,0,2,17,9,23,10,3,0,0,3
2000/01,2000-12-02,Bradford,Coventry,2,1,H,0,0,D,10,13,6,7,11,12,9,8,3,2,0,0,3,23,13,23,17,5,0,1,5
2000/01,2000-12-02,Ipswich,Derby,0,1,A,0,1,A,11,3,5,3,13,13,6,1,1,1,0,0,1,14,8,26,7,2,0,1,2
2000/01,2000-12-02,Leicester,Leeds,3,1,H,3,0,H,8,12,5,4,10,7,0,6,1,2,0,1,4,20,9,17,6,3,1,2,8
2000/01,2000-12-02,Liverpool,Charlton,3,0,H,1,0,H,13,7,3,2,10,9,6,5,1,1,0,0,3,20,5,19,11,2,0,3,2
2000/01,2000-12-02,Man United,Tottenham,2,0,H,1,0,H,16,5,8,3,7,8,7,5,2,1,0,0,2,21,11,15,12,3,0,2,3
2000/01,2000-12-02,West Ham,Middlesbrough,1,0,H,1,0,H,14,5,6,3,17,19,7,5,1,4,0,1,1,19,9,36,12,5,1,1,10
2000/01,2000-12-03,Chelsea,Man City,2,1,H,2,0,H,9,11,7,5,9,12,7,10,2,0,0,0,3,20,12,21,17,2,0,1,2
2000/01,2000-12-04,Sunderland,Everton,2,0,H,1,0,H,24,7,11,2,16,23,8,4,0,3,0,0,2,31,13,39,12,3,0,2,3
2000/01,2000-12-09,Arsenal,Newcastle,5,0,H,2,0,H,15,3,10,1,10,11,5,2,0,3,0,0,5,18,11,21,7,3,0,5,3
2000/01,2000-12-09,Bradford,Tottenham,3,3,D,1,2,A,13,6,6,4,6,16,7,2,2,0,0,0,6,19,10,22,9,2,0,0,2
2000/01,2000-12-09,Charlton,Man United,3,3,D,1,2,A,15,15,8,8,6,10,9,6,0,1,0,0,6,30,16,16,15,1,0,0,1
2000/01,2000-12-09,Chelsea,Derby,4,1,H,3,0,H,19,5,10,3,8,14,3,6,0,0,0,0,5,24,13,22,9,0,0,3,0
2000/01,2000-12-09,Man City,Everton,5,0,H,3,0,H,13,14,9,4,12,12,5,13,0,1,0,0,5,27,13,24,18,1,0,5,1
2000/01,2000-12-09,Southampton,Leeds,1,0,H,1,0,H,12,13,3,5,13,15,2,10,3,4,1,0,1,25,8,28,12,7,1,1,12
2000/01,2000-12-09,Sunderland,Middlesbrough,1,0,H,0,0,D,8,8,5,5,22,21,5,3,1,3,0,0,1,16,10,43,8,4,0,1,4
2000/01,2000-12-09,West Ham,Aston Villa,1,1,D,1,1,D,13,15,5,4,14,15,4,4,1,3,0,0,2,28,9,29,8,4,0,0,4
2000/01,2000-12-10,Coventry,Leicester,1,0,H,1,0,H,12,6,5,1,11,15,8,10,0,1,0,0,1,18,6,26,18,1,0,1,1
